user_id,joke_id,rating
6,7,-4.45
39,7,-10.0
88,7,-5.76
92,7,9.04
110,7,0.0
125,7,-5.47
160,7,8.65
162,7,-10.0
193,7,2.17
201,7,8.72
216,7,-10.0
224,7,-10.0
225,7,2.32
246,7,0.0
247,7,-7.48
259,7,-2.55
298,7,3.66
299,7,-1.54
308,7,3.01
324,7,0.0
344,7,2.15
393,7,0.0
406,7,-7.64
445,7,-4.43
507,7,9.29
511,7,3.41
574,7,0.0
588,7,0.0
645,7,-4.67
654,7,-1.38
678,7,5.08
688,7,-10.0
714,7,0.0
719,7,-4.88
789,7,9.14
798,7,-3.29
799,7,-3.19
801,7,-10.0
802,7,-9.88
813,7,7.07
818,7,7.83
821,7,-8.9
828,7,5.49
838,7,-6.91
867,7,4.8
877,7,0.0
890,7,-2.23
899,7,5.06
921,7,5.67
930,7,1.63
941,7,0.0
973,7,3.05
1009,7,10.0
1022,7,-9.35
1046,7,-10.0
1062,7,-9.15
1082,7,9.39
1095,7,9.13
1098,7,-10.0
1137,7,2.85
1149,7,1.34
1196,7,-8.46
1201,7,0.0
1223,7,-5.81
1233,7,-8.76
1258,7,0.0
1270,7,0.0
1271,7,-3.21
1284,7,-8.62
1297,7,7.24
1306,7,10.0
1322,7,2.89
1344,7,9.31
1357,7,7.74
1364,7,-1.04
1365,7,-9.76
1366,7,-9.59
1368,7,0.0
1373,7,-10.0
1377,7,-3.05
1379,7,-7.85
1386,7,-4.02
1409,7,-3.19
1424,7,5.96
1454,7,0.0
1456,7,0.0
1462,7,10.0
1472,7,-10.0
1476,7,-2.93
1478,7,4.27
1499,7,0.0
1696,7,-9.23
1703,7,10.0
1721,7,1.83
1759,7,-10.0
1790,7,4.29
1803,7,-3.98
1820,7,10.0
1828,7,3.05
1844,7,0.0
1863,7,4.61
1876,7,-4.86
1880,7,6.3
2078,7,1.95
2178,7,-5.49
2182,7,0.0
2225,7,0.0
2250,7,4.31
2308,7,-3.13
2317,7,0.0
2320,7,1.14
2331,7,-6.91
2361,7,6.95
2362,7,10.0
2375,7,-2.8
2392,7,0.0
2399,7,1.57
2427,7,-10.0
2441,7,-10.0
2452,7,0.0
2517,7,0.0
2529,7,9.02
2533,7,0.0
2534,7,-4.67
2535,7,10.0
2537,7,0.0
2541,7,-10.0
2586,7,3.01
2627,7,-0.63
2628,7,0.79
2634,7,0.0
2648,7,10.0
2683,7,10.0
2723,7,-1.7
2725,7,0.0
2787,7,6.87
2792,7,10.0
2821,7,3.4
2854,7,-8.46
2861,7,0.0
2923,7,0.0
2933,7,7.09
2934,7,-10.0
2949,7,-8.51
2983,7,0.0
2984,7,6.1
3027,7,-2.83
3037,7,-4.27
3049,7,0.0
3067,7,7.44
3072,7,9.02
3131,7,-10.0
3155,7,-10.0
